2025-03-23 23:32:54,665 [INFO] {'target': 0.9750396768143125, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783574'}
2025-03-23 23:32:54,901 [INFO] {'target': 0.9784276820616765, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783574'}
2025-03-23 23:32:55,078 [INFO] {'target': 0.9753211141578871, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783575'}
2025-03-23 23:32:55,314 [INFO] {'target': 0.9712561080770337, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783575'}
2025-03-23 23:32:55,512 [INFO] {'target': 0.9746178252091146, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783575'}
2025-03-23 23:32:55,736 [INFO] {'target': 0.978286045165026, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783575'}
2025-03-23 23:32:56,014 [INFO] {'target': 0.9751803751803751, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783576'}
2025-03-23 23:32:56,237 [INFO] {'target': 0.9713957165444875, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783576'}
2025-03-23 23:32:56,435 [INFO] {'target': 0.9750396768143125, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783576'}
2025-03-23 23:32:56,648 [INFO] {'target': 0.9784276820616765, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783576'}
2025-03-23 23:32:56,907 [INFO] {'target': 0.9751803751803751, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783576'}
2025-03-23 23:32:57,133 [INFO] {'target': 0.9712561080770337, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:32:1742783577'}
2025-03-23 23:32:57,339 [INFO] {'target': 0.9748990190421235, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:32:1742783577'}
2025-03-23 23:32:57,549 [INFO] {'target': 0.978286045165026, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:32:1742783577'}
2025-03-23 23:32:57,748 [INFO] {'target': 0.9751803751803751, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:32:1742783577'}
2025-03-23 23:32:58,207 [INFO] {'target': 0.9637763833428409, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783578'}
2025-03-23 23:32:58,719 [INFO] {'target': 0.9668097281831187, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783578'}
2025-03-23 23:32:59,371 [INFO] {'target': 0.9702799712849964, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783579'}
2025-03-23 23:32:59,860 [INFO] {'target': 0.96694806123909, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783579'}
2025-03-23 23:33:00,402 [INFO] {'target': 0.9637763833428409, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783580'}
2025-03-23 23:33:00,895 [INFO] {'target': 0.9668097281831187, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783580'}
2025-03-23 23:33:01,477 [INFO] {'target': 0.9704192992533027, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783581'}
2025-03-23 23:33:01,976 [INFO] {'target': 0.96694806123909, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783581'}
2025-03-23 23:33:02,537 [INFO] {'target': 0.9639138496648124, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783582'}
2025-03-23 23:33:03,023 [INFO] {'target': 0.9668097281831187, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783583'}
2025-03-23 23:33:03,615 [INFO] {'target': 0.9704192992533027, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783583'}
2025-03-23 23:33:04,126 [INFO] {'target': 0.9668097281831187, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783584'}
2025-03-23 23:33:04,639 [INFO] {'target': 0.9639138496648124, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783584'}
2025-03-23 23:33:05,170 [INFO] {'target': 0.9668097281831187, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783585'}
2025-03-23 23:33:05,710 [INFO] {'target': 0.9704192992533027, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783585'}
2025-03-23 23:33:06,238 [INFO] {'target': 0.96694806123909, 'params': {'gamma': 0.001, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783586'}
2025-03-23 23:33:07,287 [INFO] {'target': 0.951830985915493, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783587'}
2025-03-23 23:33:08,289 [INFO] {'target': 0.9529046813310773, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783588'}
2025-03-23 23:33:09,183 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783589'}
2025-03-23 23:33:10,166 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783590'}
2025-03-23 23:33:11,372 [INFO] {'target': 0.9516969440923814, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783591'}
2025-03-23 23:33:12,289 [INFO] {'target': 0.9530390636017487, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783592'}
2025-03-23 23:33:13,202 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783593'}
2025-03-23 23:33:13,981 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783593'}
2025-03-23 23:33:14,721 [INFO] {'target': 0.9516969440923814, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783594'}
2025-03-23 23:33:15,703 [INFO] {'target': 0.9529046813310773, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783595'}
