2025-03-17 00:44:57,751 [INFO] {'target': 0.9718147828587863, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183097'}
2025-03-17 00:44:58,122 [INFO] {'target': 0.9760254188330445, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183098'}
2025-03-17 00:44:58,498 [INFO] {'target': 0.9734946701238836, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183098'}
2025-03-17 00:44:59,157 [INFO] {'target': 0.9615822424587365, 'params': {'gamma': 0.1, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:44:1742183099'}
2025-03-17 00:44:59,822 [INFO] {'target': 0.9641888999857327, 'params': {'gamma': 0.1, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:44:1742183099'}
2025-03-17 00:45:00,465 [INFO] {'target': 0.9691667861752474, 'params': {'gamma': 0.1, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183100'}
2025-03-17 00:45:01,153 [INFO] {'target': 0.965980560320183, 'params': {'gamma': 0.1, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183101'}
2025-03-17 00:45:02,416 [INFO] {'target': 0.9591257451036049, 'params': {'gamma': 0.5, 'nu': 0.3, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183102'}
2025-03-17 00:45:03,668 [INFO] {'target': 0.9600795567552209, 'params': {'gamma': 0.5, 'nu': 0.3, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183103'}
2025-03-17 00:45:04,867 [INFO] {'target': 0.9654285714285714, 'params': {'gamma': 0.5, 'nu': 0.3, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183104'}
2025-03-17 00:45:06,167 [INFO] {'target': 0.960762013079329, 'params': {'gamma': 0.5, 'nu': 0.3, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183106'}
2025-03-17 00:45:06,369 [INFO] {'target': 0.9712561080770337, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183106'}
2025-03-17 00:45:06,553 [INFO] {'target': 0.9746178252091146, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183106'}
2025-03-17 00:45:06,726 [INFO] {'target': 0.978286045165026, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183106'}
2025-03-17 00:45:06,920 [INFO] {'target': 0.9751803751803751, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183106'}
2025-03-17 00:45:07,130 [INFO] {'target': 0.974477289113194, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:07,302 [INFO] {'target': 0.9777199074074074, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:07,487 [INFO] {'target': 0.9811265969802555, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:07,642 [INFO] {'target': 0.9775784753363229, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:07,751 [INFO] {'target': 0.9746178252091146, 'params': {'gamma': 0.001, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:07,861 [INFO] {'target': 0.9789946400115892, 'params': {'gamma': 0.001, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:07,962 [INFO] {'target': 0.9806994630677696, 'params': {'gamma': 0.001, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183107'}
2025-03-17 00:45:08,064 [INFO] {'target': 0.9764484901025864, 'params': {'gamma': 0.001, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183108'}
2025-03-17 00:45:08,460 [INFO] {'target': 0.966256791535602, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183108'}
2025-03-17 00:45:08,920 [INFO] {'target': 0.9686111509244661, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183108'}
2025-03-17 00:45:09,268 [INFO] {'target': 0.9730741540676746, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183109'}
2025-03-17 00:45:09,599 [INFO] {'target': 0.9691667861752474, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183109'}
2025-03-17 00:45:10,417 [INFO] {'target': 0.9511611541168191, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183110'}
2025-03-17 00:45:11,320 [INFO] {'target': 0.9535769719204177, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183111'}
2025-03-17 00:45:12,229 [INFO] {'target': 0.956952704616256, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183112'}
2025-03-17 00:45:13,069 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183113'}
2025-03-17 00:45:13,871 [INFO] {'target': 0.9522333380301535, 'params': {'gamma': 0.5, 'nu': 0.1, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183113'}
2025-03-17 00:45:14,716 [INFO] {'target': 0.9558698727015559, 'params': {'gamma': 0.5, 'nu': 0.1, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183114'}
2025-03-17 00:45:15,700 [INFO] {'target': 0.9602159704461495, 'params': {'gamma': 0.5, 'nu': 0.1, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183115'}
2025-03-17 00:45:16,568 [INFO] {'target': 0.9547894885560892, 'params': {'gamma': 0.5, 'nu': 0.1, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183116'}
