INFO:root:{'target': 0.9527703369519245, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9547894885560892, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9562756473751238, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9539808018068887, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.962129840546697, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9611719527805433, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9625409485828229, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9581738267403942, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.960762013079329, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9614454403186797, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9641888999857327, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9626780626780627, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9585815602836879, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9625409485828229, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9648772130211308, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9581738267403942, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9628152158427127, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9632269099201825, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9640513552068474, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.960898620787715, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9591257451036049, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9613086770981508, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9632269099201825, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9557346909913732, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9523675310033822, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9531734837799718, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9554644422451577, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9530390636017487, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9558698727015559, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.9533079418817887, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.9614454403186797, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.951295045045045, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.9576307212696613, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.956140350877193, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.956410982168129, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.9531734837799718, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.9572237960339943, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.958037992628296, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.9614454403186797, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.9592618878637331, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.951295045045045, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9560050926580846, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9572237960339943, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9565463552724699, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.956952704616256, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9589896409819781, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9604889141557703, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9560050926580846, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9523675310033822, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9545197740112994, 'params': {'gamma': 1, 'nu': 0.5}}
